Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
291,56.48942318,-2.993136163,178,0,0,0,0,2329.76678,-2.968479968,56.45992007,0
292,56.4724615,-3.054607447,76,0,0,0,0,5273.756242,-2.968479968,56.45992007,0
293,56.47313046,-3.054299187,77,0,0,0,0,5261.287687,-2.968479968,56.45992007,0
294,56.46826789,-2.86800327,369,0,0,0,0,6109.156286,-2.968479968,56.45992007,0
295,56.46134995,-2.996276023,172,0,0,0,0,1686.472121,-2.968479968,56.45992007,0
296,56.46126042,-2.996924147,172,0,0,0,0,1725.429334,-2.968479968,56.45992007,0
297,56.47169632,-3.047470749,90,0,0,0,0,4839.182554,-2.968479968,56.45992007,0
298,56.48195564,-3.023208507,134,0,0,0,0,3574.871056,-2.968479968,56.45992007,0
300,56.47405924,-3.051345009,91,0,0,0,0,5093.605155,-2.968479968,56.45992007,0
301,56.46784987,-3.05986821,75,0,0,0,0,5558.29078,-2.968479968,56.45992007,0
302,56.46833813,-3.058887037,76,0,0,0,0,5501.727554,-2.968479968,56.45992007,0
303,56.46746625,-3.05840185,75,0,0,0,0,5467.784805,-2.968479968,56.45992007,0
304,56.46712029,-3.0592115,75,0,0,0,0,5514.975662,-2.968479968,56.45992007,0
305,56.4723567,-3.039139823,104,0,0,0,0,4347.300657,-2.968479968,56.45992007,0
306,56.47317812,-3.037038327,105,0,0,0,0,4231.117399,-2.968479968,56.45992007,0
307,56.47567292,-3.03551631,119,0,0,0,0,4172.573397,-2.968479968,56.45992007,0
308,56.45363655,-3.010292814,143,0,0,0,0,2562.012264,-2.968479968,56.45992007,0
309,56.46544278,-3.044338763,103,0,0,0,0,4608.673722,-2.968479968,56.45992007,0
310,56.46625541,-3.046876228,89,0,0,0,0,4765.746755,-2.968479968,56.45992007,0
311,56.46701037,-3.046970827,89,0,0,0,0,4775.358209,-2.968479968,56.45992007,0
312,56.46565345,-3.046760185,89,0,0,0,0,4755.934885,-2.968479968,56.45992007,0
